date,price
1/1/13,#N/A
1/2/13,112.98
1/3/13,113.03
1/4/13,112.58
1/7/13,112.49
1/8/13,113.03
1/9/13,113.07
1/10/13,112.97
1/11/13,110.30
1/14/13,111.32
1/15/13,111.72
1/16/13,110.97
1/17/13,111.01
1/18/13,111.71
1/21/13,#N/A
1/22/13,112.72
1/23/13,113.68
1/24/13,114.59
1/25/13,113.88
1/28/13,113.92
1/29/13,115.22
1/30/13,115.42
1/31/13,115.55
2/1/13,115.55
2/4/13,116.06
2/5/13,117.03
2/6/13,116.61
2/7/13,117.17
2/8/13,118.90
2/11/13,118.29
2/12/13,117.89
2/13/13,118.43
2/14/13,118.48
2/15/13,117.40
2/18/13,#N/A
2/19/13,117.04
2/20/13,116.23
2/21/13,114.19
2/22/13,113.74
2/25/13,114.55
2/26/13,112.96
2/27/13,112.24
2/28/13,112.20
3/1/13,110.14
3/4/13,109.90
3/5/13,110.42
3/6/13,110.27
3/7/13,110.42
3/8/13,108.91
3/11/13,108.64
3/12/13,108.48
3/13/13,107.51
3/14/13,108.10
3/15/13,109.32
3/18/13,108.54
3/19/13,106.91
3/20/13,108.27
3/21/13,106.41
3/22/13,106.51
3/25/13,106.66
3/26/13,107.10
3/27/13,108.51
3/28/13,108.46
3/29/13,#N/A
4/1/13,108.76
4/2/13,109.66
4/3/13,107.82
4/4/13,105.09
4/5/13,103.98
4/8/13,103.16
4/9/13,104.08
4/10/13,104.80
4/11/13,103.62
4/12/13,100.58
4/15/13,99.32
4/16/13,97.88
4/17/13,96.84
4/18/13,97.48
4/19/13,98.94
4/22/13,99.07
4/23/13,99.25
4/24/13,100.71
4/25/13,101.62
4/26/13,102.39
4/29/13,102.88
4/30/13,101.53
5/1/13,98.34
5/2/13,100.32
5/3/13,104.60
5/6/13,105.00
5/7/13,105.18
5/8/13,103.79
5/9/13,103.59
5/10/13,101.31
5/13/13,102.17
5/14/13,102.70
5/15/13,101.57
5/16/13,104.27
5/17/13,103.83
5/20/13,104.55
5/21/13,103.10
5/22/13,102.14
5/23/13,100.46
5/24/13,101.24
5/27/13,#N/A
5/28/13,103.77
5/29/13,102.14
5/30/13,101.79
5/31/13,100.43
6/3/13,101.63
6/4/13,102.04
6/5/13,103.51
6/6/13,103.37
6/7/13,104.07
6/10/13,103.87
6/11/13,101.50
6/12/13,103.11
6/13/13,103.38
6/14/13,105.10
6/17/13,105.80
6/18/13,105.21
6/19/13,105.56
6/20/13,102.72
6/21/13,100.36
6/24/13,99.80
6/25/13,101.51
6/26/13,100.62
6/27/13,102.74
6/28/13,102.49
7/1/13,103.19
7/2/13,103.96
7/3/13,106.12
7/4/13,#N/A
7/5/13,107.46
7/8/13,107.75
7/9/13,107.90
7/10/13,108.43
7/11/13,108.18
7/12/13,109.03
7/15/13,109.05
7/16/13,109.29
7/17/13,109.67
7/18/13,109.71
7/19/13,109.34
7/22/13,108.82
7/23/13,109.27
7/24/13,108.23
7/25/13,108.10
7/26/13,107.57
7/29/13,108.10
7/30/13,107.47
7/31/13,107.89
8/1/13,109.94
8/2/13,109.63
8/5/13,109.81
8/6/13,108.77
8/7/13,108.39
8/8/13,107.32
8/9/13,108.49
8/12/13,109.28
8/13/13,110.69
8/14/13,110.26
8/15/13,111.58
8/16/13,111.82
8/19/13,111.41
8/20/13,110.74
8/21/13,110.82
8/22/13,110.51
8/23/13,112.12
8/26/13,112.23
8/27/13,115.21
8/28/13,116.27
8/29/13,116.91
8/30/13,115.97
9/2/13,#N/A
9/3/13,115.49
9/4/13,115.65
9/5/13,115.81
9/6/13,117.15
9/9/13,115.20
9/10/13,112.10
9/11/13,112.37
9/12/13,113.11
9/13/13,113.31
9/16/13,110.86
9/17/13,109.05
9/18/13,109.09
9/19/13,110.66
9/20/13,110.22
9/23/13,108.56
9/24/13,107.68
9/25/13,109.46
9/26/13,108.86
9/27/13,109.45
9/30/13,107.85
10/1/13,107.32
10/2/13,109.09
10/3/13,109.49
10/4/13,109.42
10/7/13,109.66
10/8/13,110.56
10/9/13,109.02
10/10/13,111.63
10/11/13,110.65
10/14/13,110.13
10/15/13,110.67
10/16/13,110.79
10/17/13,109.55
10/18/13,109.40
10/21/13,109.47
10/22/13,109.57
10/23/13,107.74
10/24/13,106.63
10/25/13,105.70
10/28/13,108.29
10/29/13,108.04
10/30/13,108.41
10/31/13,107.53
11/1/13,105.78
11/4/13,104.85
11/5/13,105.01
11/6/13,105.46
11/7/13,103.08
11/8/13,104.29
11/11/13,105.76
11/12/13,106.29
11/13/13,106.90
11/14/13,108.29
11/15/13,108.25
11/18/13,108.80
11/19/13,108.29
11/20/13,108.27
11/21/13,109.90
11/22/13,111.36
11/25/13,110.83
11/26/13,112.04
11/27/13,111.32
11/28/13,#N/A
11/29/13,111.07
12/2/13,111.49
12/3/13,113.06
12/4/13,113.27
12/5/13,112.07
12/6/13,111.50
12/9/13,110.07
12/10/13,108.91
12/11/13,109.47
12/12/13,108.99
12/13/13,108.08
12/16/13,110.30
12/17/13,108.91
12/18/13,109.56
12/19/13,110.78
12/20/13,112.15
12/23/13,111.58
12/24/13,111.57
12/25/13,#N/A
12/26/13,111.65
12/27/13,112.06
12/30/13,110.47
12/31/13,109.95
1/1/14,#N/A
1/2/14,107.94
