date,price
11/1/12,108.84
11/2/12,106.79
11/5/12,105.59
11/6/12,109.27
11/7/12,108.21
11/8/12,107.23
11/9/12,108.61
11/12/12,110.23
11/13/12,108.82
11/14/12,109.66
11/15/12,110.07
11/16/12,106.81
11/19/12,110.06
11/20/12,110.01
11/21/12,110.81
11/22/12,#N/A
11/23/12,110.14
11/26/12,110.18
11/27/12,109.33
11/28/12,108.26
11/29/12,110.47
11/30/12,110.84
12/3/12,111.27
12/4/12,109.99
12/5/12,108.96
12/6/12,108.01
12/7/12,107.16
12/10/12,108.25
12/11/12,107.60
12/12/12,110.17
12/13/12,110.18
12/14/12,109.28
12/17/12,109.35
12/18/12,109.96
12/19/12,109.95
12/20/12,110.57
12/21/12,109.13
12/24/12,108.44
12/25/12,#N/A
12/26/12,110.72
12/27/12,110.04
12/28/12,110.05
12/31/12,110.80
