TRADING_DATE,PERIOD,DEMAND,USEP
4-Jul-13,3,4867.27,162.05
4-Jul-13,4,4818.057,157.01
4-Jul-13,5,4768.834,154.79
4-Jul-13,6,4718.622,151.94
4-Jul-13,7,4682.252,151.45
4-Jul-13,8,4659.673,151.29
4-Jul-13,9,4636.269,151.22
4-Jul-13,10,4646.036,151.28
4-Jul-13,11,4704.344,151.45
4-Jul-13,12,4797.124,154.33
4-Jul-13,13,4941.641,151.41
4-Jul-13,14,5097.222,154.44
4-Jul-13,15,5281.937,160.73
4-Jul-13,16,5546.634,154.52
4-Jul-13,17,5815.178,202.73
4-Jul-13,18,6030.295,192.43
4-Jul-13,19,6155.449,199.82
4-Jul-13,20,6257.941,212.87
4-Jul-13,21,6326.338,233.45
4-Jul-13,22,6348.484,233.52
4-Jul-13,23,6306.686,222.42
4-Jul-13,24,6212.455,199.74
4-Jul-13,25,6147.025,191.2
4-Jul-13,26,6142.845,192.17
4-Jul-13,27,6171.726,196.26
4-Jul-13,28,6206.929,199.73
4-Jul-13,29,6209.682,199.73
4-Jul-13,30,6164.689,192.22
4-Jul-13,31,6008.387,158.13
4-Jul-13,32,6089.661,181.05
4-Jul-13,33,6102.116,182.05
4-Jul-13,34,6068.673,169.22
4-Jul-13,35,5986.29,156.18
4-Jul-13,36,5860.713,158.38
4-Jul-13,37,5794.727,160.48
4-Jul-13,38,5829.581,192.31
4-Jul-13,39,5870.549,209.87
4-Jul-13,40,5918.475,232.73
4-Jul-13,41,5908.734,212.65
4-Jul-13,42,5875.425,214.09
4-Jul-13,43,5809.716,232.75
4-Jul-13,44,5691.535,253.16
4-Jul-13,45,5562.538,201.9
4-Jul-13,46,5416.629,181.28
4-Jul-13,47,5237.575,161.79
4-Jul-13,48,5106.6,154.37
5-Jul-13,1,4995.218,168.6
5-Jul-13,2,4839.562,158.43
5-Jul-13,3,4649.45,152.5
5-Jul-13,4,4565.025,151.27
5-Jul-13,5,4504.624,151.03
5-Jul-13,6,4467.488,149.25
5-Jul-13,7,4441.227,149.17
5-Jul-13,8,4416.645,147.22
5-Jul-13,9,4416.397,147.21
5-Jul-13,10,4430.685,148.14
5-Jul-13,11,4477.041,149.17
5-Jul-13,12,4587.618,151.21
5-Jul-13,13,4743.681,149.28
5-Jul-13,14,4920.389,151.34
5-Jul-13,15,5132.579,151.46
5-Jul-13,16,5407.052,151.46
5-Jul-13,17,5679.85,154.51
5-Jul-13,18,5898.873,154.53
5-Jul-13,19,6034.594,160.55
5-Jul-13,20,6111.828,163.49
5-Jul-13,21,6153.104,182.24
5-Jul-13,22,6162.989,191.35
5-Jul-13,23,6132.513,160.48
5-Jul-13,24,6065.477,153.3
5-Jul-13,25,6018.829,149.1
5-Jul-13,26,6046.999,151.48
5-Jul-13,27,6112.076,152.28
5-Jul-13,28,6141.598,154.52
5-Jul-13,29,6130.271,154.52
5-Jul-13,30,6090.372,150.68
5-Jul-13,31,6095.039,154.52
5-Jul-13,32,6076.083,154.47
5-Jul-13,33,6041.224,157.15
5-Jul-13,34,5964.969,158.28
5-Jul-13,35,5841.698,154.11
5-Jul-13,36,5688.16,146.68
5-Jul-13,37,5593.437,146.14
5-Jul-13,38,5611.369,155.86
5-Jul-13,39,5629.246,154.51
5-Jul-13,40,5681.386,154.52
5-Jul-13,41,5759.604,161.66
5-Jul-13,42,5739.818,172.36
5-Jul-13,43,5673.876,169.45
5-Jul-13,44,5551.371,180.89
5-Jul-13,45,5435.977,155.81
5-Jul-13,46,5325.623,155.32
5-Jul-13,47,5230.597,158.36
5-Jul-13,48,5114.369,153.3
6-Jul-13,1,5016.852,153.41
6-Jul-13,2,4905.713,151.44
6-Jul-13,3,4743.373,151.03
6-Jul-13,4,4692.003,150.09
6-Jul-13,5,4640.862,149.49
6-Jul-13,6,4592.022,148.11
6-Jul-13,7,4556.501,147.27
6-Jul-13,8,4526.91,147.14
6-Jul-13,9,4499.485,146.96
6-Jul-13,10,4493.794,146.96
6-Jul-13,11,4522.68,147.13
6-Jul-13,12,4575.471,147.14
6-Jul-13,13,4607.235,147.15
6-Jul-13,14,4614.62,146.97
6-Jul-13,15,4683.037,137
6-Jul-13,16,4908.7,146.01
6-Jul-13,17,5154.208,147.4
6-Jul-13,18,5327.711,151.51
6-Jul-13,19,5480.354,154.59
6-Jul-13,20,5604.873,171.82
6-Jul-13,21,5691.157,207.7
6-Jul-13,22,5710.167,209.93
6-Jul-13,23,5702.891,187.23
6-Jul-13,24,5654.652,158.32
6-Jul-13,25,5592.209,154.52
6-Jul-13,26,5545.591,154.51
6-Jul-13,27,5517.774,154.54
6-Jul-13,28,5507.953,153.27
6-Jul-13,29,5547.539,154.52
6-Jul-13,30,5560.779,157.13
6-Jul-13,31,5536.774,703.78
6-Jul-13,32,5484.793,234.14
6-Jul-13,33,5444.988,190.52
6-Jul-13,34,5399.353,160.87
6-Jul-13,35,5360.995,155.44
6-Jul-13,36,5305.525,186.44
6-Jul-13,37,5295.162,167.02
6-Jul-13,38,5373.972,193.24
6-Jul-13,39,5406.127,175.37
6-Jul-13,40,5408.811,177.12
6-Jul-13,41,5435.629,191.5
6-Jul-13,42,5466.1,202.35
6-Jul-13,43,5465.042,197.33
6-Jul-13,44,5418.875,167.06
6-Jul-13,45,5352.213,156.24
6-Jul-13,46,5307.796,155.03
6-Jul-13,47,5257.47,155.42
6-Jul-13,48,5166.872,160.33
7-Jul-13,1,5046.866,154.44
7-Jul-13,2,4925.29,151.41
7-Jul-13,3,4763.745,147.36
7-Jul-13,4,4702.092,147.28
7-Jul-13,5,4655.106,146.95
7-Jul-13,6,4615.569,144.57
7-Jul-13,7,4568.479,140.8
7-Jul-13,8,4538.569,139.28
7-Jul-13,9,4523.674,138.59
7-Jul-13,10,4516.348,138.55
7-Jul-13,11,4520.98,138.6
7-Jul-13,12,4567.147,140.68
7-Jul-13,13,4587.29,139.62
7-Jul-13,14,4561.695,138.58
7-Jul-13,15,4562.704,137
7-Jul-13,16,4650.18,139.38
7-Jul-13,17,4777.129,141.28
7-Jul-13,18,4855.382,146.28
7-Jul-13,19,4960.994,147
7-Jul-13,20,5071.895,151.04
7-Jul-13,21,5168.139,152.54
7-Jul-13,22,5188.272,154.47
7-Jul-13,23,5184.008,153.33
7-Jul-13,24,5148.343,151.53
7-Jul-13,25,5149.303,151.53
7-Jul-13,26,5192.417,156.2
7-Jul-13,27,5235.647,162.91
7-Jul-13,28,5247.783,168.63
7-Jul-13,29,5248.017,168.64
7-Jul-13,30,5268.106,202.05
7-Jul-13,31,5284.253,234.15
7-Jul-13,32,5256.739,175.47
7-Jul-13,33,5226.949,161.64
7-Jul-13,34,5197.303,153.34
7-Jul-13,35,5195.28,152.55
7-Jul-13,36,5189.043,151.55
7-Jul-13,37,5225.562,151.55
7-Jul-13,38,5316.826,153.32
7-Jul-13,39,5394.398,186.2
7-Jul-13,40,5423.567,191.28
7-Jul-13,41,5448.755,196.32
7-Jul-13,42,5483.739,212.4
7-Jul-13,43,5492.481,234.08
7-Jul-13,44,5451.499,191.38
7-Jul-13,45,5370.105,171.2
7-Jul-13,46,5299.899,156.17
7-Jul-13,47,5234.404,169.55
