date,price
3/14/19,1.3554
3/13/19,1.3524
3/12/19,1.3558
3/11/19,1.3574
3/10/19,1.3593
3/9/19,1.3584
3/8/19,1.3588
3/7/19,1.361
3/6/19,1.3574
3/5/19,1.3563
3/4/19,1.3544
3/3/19,1.3532
3/2/19,1.355
3/1/19,1.355
2/28/19,1.3519
2/27/19,1.3487
2/26/19,1.3475
2/25/19,1.3495
2/24/19,1.3508
2/23/19,1.3513
2/22/19,1.3501
2/21/19,1.354
2/20/19,1.3517
2/19/19,1.353
2/18/19,1.3564
2/17/19,1.357
2/16/19,1.3566
2/15/19,1.3554
2/14/19,1.3576
2/13/19,1.36
2/12/19,1.3568
2/11/19,1.3609
2/10/19,1.3566
2/9/19,1.3568
2/8/19,1.3564
2/7/19,1.3569
2/6/19,1.3558
2/5/19,1.3513
2/4/19,1.3528
2/3/19,1.3502
2/2/19,1.3503
2/1/19,1.3501
1/31/19,1.346
1/30/19,1.3467
1/29/19,1.3522
1/28/19,1.3535
1/27/19,1.3534
1/26/19,1.3537
1/25/19,1.3524
1/24/19,1.3608
1/23/19,1.3587
1/22/19,1.3594
1/21/19,1.3588
1/20/19,1.3584
1/19/19,1.3587
1/18/19,1.3585
1/17/19,1.3558
1/16/19,1.3549
1/15/19,1.3565
1/14/19,1.3536
1/13/19,1.3531
1/12/19,1.3531
1/11/19,1.3528
1/10/19,1.3524
1/9/19,1.354
1/8/19,1.3578
1/7/19,1.3559
1/6/19,1.3592
1/5/19,1.3592
1/4/19,1.3593
1/3/19,1.3639
1/2/19,1.367
1/1/19,1.363
12/31/18,1.3629
12/30/18,1.3666
12/29/18,1.3661
12/28/18,1.3654
12/27/18,1.3711
12/26/18,1.3725
12/25/18,1.3721
12/24/18,1.3738
12/23/18,1.3744
12/22/18,1.3747
12/21/18,1.3742
12/20/18,1.3703
12/19/18,1.3718
12/18/18,1.3704
12/17/18,1.3728
12/16/18,1.3768
12/15/18,1.3768
12/14/18,1.3764
12/13/18,1.3716
12/12/18,1.372
12/11/18,1.373
12/10/18,1.3739
12/9/18,1.3706
12/8/18,1.369
12/7/18,1.3699
12/6/18,1.3694
12/5/18,1.3669
12/4/18,1.3651
12/3/18,1.367
12/2/18,1.37
12/1/18,1.3718
11/30/18,1.3721
11/29/18,1.3703
11/28/18,1.3734
11/27/18,1.3775
11/26/18,1.3749
11/25/18,1.3752
11/24/18,1.3751
11/23/18,1.375
11/22/18,1.373
11/21/18,1.3732
11/20/18,1.3751
11/19/18,1.372
11/18/18,1.3733
11/17/18,1.3723
11/16/18,1.3731
11/15/18,1.3757
11/14/18,1.3786
11/13/18,1.3793
11/12/18,1.3854
11/11/18,1.3793
11/10/18,1.3789
11/9/18,1.3787
11/8/18,1.3755
11/7/18,1.3717
11/6/18,1.3731
11/5/18,1.375
11/4/18,1.3732
11/3/18,1.374
11/2/18,1.3741
11/1/18,1.3763
10/31/18,1.3855
10/30/18,1.3854
10/29/18,1.3835
10/28/18,1.38
10/27/18,1.3799
10/26/18,1.38
10/25/18,1.3807
10/24/18,1.3809
10/23/18,1.3781
10/22/18,1.3799
10/21/18,1.377
10/20/18,1.3774
10/19/18,1.3773
10/18/18,1.3803
10/17/18,1.3782
10/16/18,1.3746
10/15/18,1.3756
10/14/18,1.3783
10/13/18,1.3779
10/12/18,1.3779
10/11/18,1.3763
10/10/18,1.3837
10/9/18,1.3824
10/8/18,1.3841
10/7/18,1.383
10/6/18,1.3829
10/5/18,1.3827
10/4/18,1.381
10/3/18,1.3799
10/2/18,1.3729
10/1/18,1.3722
9/30/18,1.3676
9/29/18,1.3667
9/28/18,1.3666
9/27/18,1.368
