TRADING_DATE,PERIOD,DEMAND,USEP
04/Jan/15,3,4355.131,76.06
04/Jan/15,4,4307.936,73.24
04/Jan/15,5,4264.036,72.5
04/Jan/15,6,4229.201,73.17
04/Jan/15,7,4205.658,72.39
04/Jan/15,8,4181.474,72.23
04/Jan/15,9,4162.857,72.23
04/Jan/15,10,4162.236,72.23
04/Jan/15,11,4186.708,72.23
04/Jan/15,12,4233.883,73.24
04/Jan/15,13,4286.292,73.29
04/Jan/15,14,4318.607,73.31
04/Jan/15,15,4343.954,73.31
04/Jan/15,16,4430.829,76.06
04/Jan/15,17,4566.073,79.27
04/Jan/15,18,4686.511,80.56
04/Jan/15,19,4792.645,80.69
04/Jan/15,20,4882.14,81.62
04/Jan/15,21,4958.762,79.24
04/Jan/15,22,5013.805,80.03
04/Jan/15,23,5036.061,80.17
04/Jan/15,24,5021.389,79.34
04/Jan/15,25,5006.713,79.34
04/Jan/15,26,5019.983,79.35
04/Jan/15,27,5036.24,79.33
04/Jan/15,28,5042.487,79.35
04/Jan/15,29,5039.078,79.35
04/Jan/15,30,5027.229,79.33
04/Jan/15,31,5023.601,80.18
04/Jan/15,32,4986.475,79.35
04/Jan/15,33,4995.267,79.34
04/Jan/15,34,5008.294,80.18
04/Jan/15,35,5021.484,80.21
04/Jan/15,36,5027.458,101.89
04/Jan/15,37,5059.748,122.18
04/Jan/15,38,5160.882,81.46
04/Jan/15,39,5262.787,87.82
04/Jan/15,40,5313.74,113.45
04/Jan/15,41,5311.006,113.46
04/Jan/15,42,5282.026,102.04
04/Jan/15,43,5255.193,102.03
04/Jan/15,44,5183.093,82.72
04/Jan/15,45,5086.506,82.7
04/Jan/15,46,4969.796,80.64
04/Jan/15,47,4851.739,133.29
04/Jan/15,48,4750.887,110.1
05/Jan/15,1,4652.297,81.44
05/Jan/15,2,4543.499,79.09
05/Jan/15,3,4441.609,76.07
05/Jan/15,4,4391.278,74.03
05/Jan/15,5,4336.658,73.99
05/Jan/15,6,4290.104,72.45
05/Jan/15,7,4252.421,72.45
05/Jan/15,8,4236.015,72.24
05/Jan/15,9,4240.622,71.17
05/Jan/15,10,4285.024,71.17
05/Jan/15,11,4378.898,74.01
05/Jan/15,12,4540.771,79.01
